model_name,trial_id,tuned_param,lookback,num_layers,hidden_dim,dropout,lr,batch_size,weight_decay,mlp_num_layers,mlp_hidden_dim,kan_hidden_dim,grid_size,spline_order,best_epoch,train_loss_at_best_epoch,val_loss_at_best_epoch,validation_mean_nRMSE,validation_mean_nMAE,validation_mean_NSE,validation_mean_KGE,val_nRMSE_h1,val_nRMSE_h2,val_nRMSE_h3,val_nRMSE_Green_Algae,val_nRMSE_Cyanobacteria,val_nRMSE_Diatoms,val_nRMSE_Cryptophyta,val_nRMSE_Algae_Sum
LSTM_MLP,trial_0001,baseline,30,1,256,0.0,0.002,64,0.0,1,64,,,,7,0.325901589849416,0.22024085550081163,0.6896903107488842,0.5119891634144567,-0.05165086198288036,0.3753150065705973,0.5692571066690852,0.716481002154738,0.7833328234228295,0.9742202310646517,0.37012434939222866,1.0261187585652933,0.6540741588479971,0.42391405587425063
LSTM_MLP,trial_0002,num_layers,30,2,256,0.0,0.002,64,0.0,1,64,,,,7,0.3362784773936321,0.24673583677836827,0.7213171870075323,0.5259146011692302,-0.18110878708943398,0.29525842919262374,0.6238353312831934,0.722238971412894,0.8178772583265099,0.9639135777776296,0.3941026529092482,1.090833832164293,0.7420208558333705,0.41571501635312114
LSTM_MLP,trial_0003,num_layers,30,3,256,0.0,0.002,64,0.0,1,64,,,,17,0.1877039088303655,0.23169641622475215,0.7075405152910198,0.5231693042160047,-0.01576955513224271,0.30515762175408984,0.6277763056460921,0.7112017673518846,0.7836434728750826,0.9339945625229698,0.4386275521375249,1.2015085390762927,0.5709625868632365,0.3926093358550753
LSTM_MLP,trial_0004,hidden_dim,30,1,128,0.0,0.002,64,0.0,1,64,,,,4,0.39102721441163324,0.21825034348737626,0.6698291376586557,0.5366763690213481,0.04543584812474229,0.33847888101611373,0.5820921448127658,0.6836101216880267,0.7437851464751747,0.7684043749207099,0.42818726784057737,1.1866758451296626,0.5525194636857073,0.41335873671662143
LSTM_MLP,trial_0005,mlp_num_layers,30,1,128,0.0,0.002,64,0.0,2,64,,,,17,0.1948261956545721,0.20615962999207632,0.6662226455586261,0.493799294348741,0.013866759461167,0.35567342916518946,0.5602284885605859,0.6687378067767847,0.7697016413385074,0.9405025051004761,0.3597199919289387,0.9872315914394271,0.6251915998348895,0.41846753948939863
LSTM_MLP,trial_0006,mlp_hidden_dim,30,1,128,0.0,0.002,64,0.0,2,32,,,,9,0.31543581538340626,0.2152260577394849,0.6983332501423096,0.5223828536643311,0.029619468250958972,0.3086354011287456,0.6385625793421088,0.6997734029291978,0.7566637681556221,0.8864606063074739,0.369771534739894,1.2430525750816024,0.60024288356938,0.39213865101319767
LSTM_MLP,trial_0007,mlp_hidden_dim,30,1,128,0.0,0.002,64,0.0,2,128,,,,9,0.28597496975870695,0.20416980981826782,0.6704054268566859,0.49656006580734646,0.048071301196787694,0.4398125447362852,0.5545756572945644,0.6768179550787197,0.779822668196774,0.8895788065237076,0.352213556160825,1.097380015040508,0.5892864926670894,0.42356826389130003
LSTM_MLP,trial_0008,lr,30,1,128,0.0,0.001,64,0.0,2,64,,,,7,0.3891777281220809,0.2338345909402484,0.712602392223362,0.5560597859372404,-0.05750945908516381,0.24759137242112242,0.6435376499415254,0.7185004495778868,0.7757690771506737,0.9308352302874082,0.41710930081256076,1.1851004591818641,0.6052834297817554,0.4246835410532213
LSTM_MLP,trial_0009,lr,30,1,128,0.0,0.003,64,0.0,2,64,,,,9,0.27797378130437594,0.20592323797089712,0.6753401189115978,0.5028963035062666,0.04036195867419061,0.44646594977591914,0.5741247628726267,0.6864834838588636,0.7654121100033036,0.9382136546720914,0.36407623621683977,1.0699883257532614,0.5930134821809466,0.41140889573485073
LSTM_MLP,trial_0010,dropout,30,1,128,0.1,0.002,64,0.0,2,64,,,,10,0.317937249955834,0.20353747620469048,0.6765648463870018,0.5215167281622644,0.0735825747792367,0.35807493979823624,0.6109079031042451,0.6752928933672026,0.7434937426895576,0.8815531736811665,0.3629893228405665,1.165199720571309,0.58531740487797,0.3877646099639969
LSTM_MLP,trial_0011,dropout,30,1,128,0.2,0.002,64,0.0,2,64,,,,8,0.3769910798559552,0.19907731172584353,0.6682382448216301,0.5099094124580981,0.11377034960014017,0.36585427243425095,0.5899191422342266,0.6720290232865764,0.7427665689440873,0.8007504652850038,0.3557779683117526,1.2454193308793926,0.5634416761895219,0.37580178344247955
LSTM_MLP,trial_0012,batch_size,30,1,128,0.0,0.002,32,0.0,2,64,,,,4,0.37252737133148217,0.21083758345672063,0.6852906937776634,0.5306838978098724,0.0610181518638987,0.39586503941792883,0.6085844064170989,0.6942414541479203,0.7530462207679709,0.8773333441295827,0.3870018461714082,1.2122663423789628,0.5642280361266881,0.3856239000816748
LSTM_MLP,trial_0013,weight_decay,30,1,128,0.0,0.002,64,0.0001,2,64,,,,8,0.3353239512361045,0.21310886669726598,0.6891108056661418,0.5237498524133122,0.0422238363560679,0.3570427225494173,0.6092592571249439,0.6949185105751068,0.7631546492983747,0.8209107122343297,0.36460436680995967,1.2697320320873178,0.6012518208587944,0.3890550963403074
